"name","place_id"
"Slappy Cakes","ChIJyUF79_0b2jERXNeAYe-v130"
"Texas Chicken","ChIJWZqClhE92jERYgY6_t_gnLQ"
"Macau Express","ChIJ5UF2fKAZ2jERqINhu8PXg5A"
"Yue Hwa Chinese Products","ChIJy64vxOwP2jERGHAwoXFbzZA"
"Starbucks","ChIJU3YWjok82jERKduvzSnzlaQ"
"Khatib Foodshop","ChIJ95ahjA0U2jEROklcKkuqgyY"
"StraitsKitchen","ChIJKWGbYo0Z2jERgIAV9m0gT00"
"Old Tea Hut","ChIJOxjL4A8Z2jERt9hAs6yfx8g"
"CRAVE NASI LEMAK Bedok Mall","ChIJfy2_HLMi2jERz9V0J1WIYmk"
"Ola Beach Club","ChIJuU9qyPgb2jERidqJVhPuyUw"
"新加坡武吉士美居酒店","ChIJiYU6IrsZ2jER64MKG_r-PhU"
"Yuan Cheng Fried Carrot Cake","ChIJ82mn4sIb2jERivrtL3P0XBM"
"Sincerity Vegetarian Food","ChIJe5cwKXoU2jERh00Lrv2Was0"
"892C coffeeshop","ChIJU-N6fPUT2jERvqaugNSN1Yc"
"Northspring CAFE","ChIJUzLTFGAU2jERm8Bb-vxjTaY"
"IPPUDO Tanjong Pagar","ChIJG8yhPRMZ2jERGzY7djoSZmE"
"PocoLoco @ Wisteria Mall","ChIJT5ezlrMZ2jERkmfDAdWIFzU"
"Tango's","ChIJo2VSlGsa2jERdexaX-uoRb0"
"Spinach Yong Tau Foo Soup","ChIJta-J6MAW2jER2_UKmVEtt_U"
"Dunkin' Donuts","ChIJyRIV6Y0Z2jERf4kBykmikCU"
"At The Myo","ChIJKdhRKWwZ2jER0fisaPg5p1Q"
"Traditional Carrot Cake","ChIJ7SUpBGoa2jERxtnZMQnAhnI"
"Eighteen Chefs Bugis","ChIJBzTql7oZ2jERkjVmF49A4rw"
"KHH Engineering Enterprise Pte Ltd","ChIJsZU3XWAU2jERGjYA7JCs20s"
"Châteraisé @ION Orchard","ChIJAcB96I0Z2jERfgkT8669PEk"
"KFC","ChIJJ4D-iA0W2jERaP9rlTiJ-Zo"
"Mongkok Dim Sum","ChIJ752HKTcY2jERkPh4y2dw4Ww"
"Jurong West Claypot Curry Fish Head","ChIJR4q3pN4P2jERk-wUWTvfVu4"
"Broadway Coffee Shop","ChIJkU1Mqj0Q2jERpajmgTO0PVc"
"Original Changi Ten Mile Fried Carrot Cake","ChIJuwVSabYi2jERLVHnVZZin5M"
"FairPrice Holland Drive","ChIJZ4UHIGoa2jER3WcV7kOWmKY"
"Chalk Farm","ChIJRQIFLpIZ2jERG1UvTg8MOag"
"Wang Your Local Cafe","ChIJK5Z7tQ4Z2jERe_gjThQf3Fw"
"McDonald's LIDO","ChIJzZ2DbY0Z2jERp4XzYzPhB8s"
"Sin Heng Kee Porridge - Junction 9","ChIJkacwJmcU2jERBvDxstcTbLE"
"Beijing Confectionery","ChIJkdVYERU92jER2NXss9tP-CA"
"Geylang (Hamid's) Briyani Stall","ChIJbz3XoRAY2jERd6Yka70JyYM"
"ENAK","ChIJ-TAXb7Yi2jERaxJ2xKVc66I"
"Food Chain Food Court","ChIJ7XsaXEUa2jERdyso3E1OhyM"
"Donya Japanese Cuisine @ TOA PAYOH 126","ChIJq6raK2gX2jERhcv6u428ZwQ"
"Crystal Jade My Bread","ChIJ7eVXlqgT2jERSMWW5DUpFXw"
"泉馨园海鮮菜馆","ChIJPy5dXMgZ2jER0uc9mukmddY"
"59 Food Court Pte Ltd","ChIJTbSyA8si2jERV9rOTKvgWHs"
"Foodfare @ Yishun Angsana Breeze","ChIJRZeYoBYU2jERy3KTuSAnq18"
"Killiney","ChIJnbX5OeIb2jEReF8zOxvkrxQ"
"In & Out Cafe","ChIJLUUX1A4Q2jERErPLulzDO9I"
"Savourworld","ChIJbeoA-lIa2jERUfpxA2v5_1U"
"House of Happiness 满福小厨","ChIJ6zffGAU92jERtvPKlmR_kgg"
"Boh Geh Uncle Canteen","ChIJzftLPNIV2jERvaC5dtIHPkU"
"UYI Savoury Squids","ChIJBzTql7oZ2jERRAamt1TBJPE"
"Juice Clinic","ChIJk_Bv_7AZ2jERml_JH15nzx4"
"谢必安素食 vegetarian stall","ChIJMddReGs92jERBKhfnBWhqEo"
"Moonlight Cake House","ChIJeXhviCpt2jERf3HOKhq2bK4"
"Burger King","ChIJWYm_yg8Z2jERSLJ1SeLGQCk"
"Hong Win Cafe and Restaurant Pte Ltd","ChIJSR8ygxEY2jER4RILPFSAsys"
"Leng Huat Fishball Noodle.Laksa 龍發魚圓麵。叻沙","ChIJs29hC_sP2jERVrjKDVI-u44"
"Straits Chinese Nonya Restaurant","ChIJn4HUzaQZ2jERThBE_eMccWY"
"Kaisen Ichi","ChIJoSqTNMcb2jER0Z9mErpWz-Q"
"Subway","ChIJdxS7gPEa2jERBv5lgvo9Il8"
"Swee Heng Bakery","ChIJLc9QryQW2jERqd-tTzIp5Jo"
"Blossom - SATS & Plaza Premium Lounge T4","ChIJoehYq7g82jERh-tg2b3Lnek"
"Korea Cuisine ( From Korea)","ChIJXw1ajqoT2jERKd0NyIVegdA"
"Starbucks","ChIJlat-N6MR2jERBt0DmQsDHKU"
"King Ohmii","ChIJlSU3-54Z2jERtKZ6TwweYLA"
"Changi Village Hawker Centre","ChIJq-d3hRY82jERfOWbep52mCs"
"Sushi Murasaki","ChIJYU6d2KgZ2jER-hZ2mih_kZ4"
"The Coffee Bean & Tea Leaf","ChIJXQmqpmsa2jER7NlG0Zjmk4Y"
"The Coffee Bean & Tea Leaf","ChIJgQUi_k4Y2jERiYJiGDbk1ys"
"Pasta e Formaggio","ChIJSaDTZxIZ2jERaij42zJQ5sI"
